borough,gtfs_stop_id,documented_station_names,documented_routes,total
Bk,A54,SHEPHERD AVENUE,C,6
Bk,F22,SMITH-9 STREETS,"F,G",7
Bk,242,STERLING STREET,"2,5",7
Bk,D43,STILLWELL AVENUE-CONEY ISLAND,"D,F,N,Q",175
Bk,L25,SUTTER AVENUE,L,2
Bk,251,SUTTER AVENUE-RUTLAND ROAD,3,20
Bk,R32,UNION STREET,R,15
Bk,250,UTICA AVE.-CROWN HEIGHTS,"3,4",92
Bk,A48,UTICA AVENUE,"A,C",70
Bk,256,VAN SICLEN AVENUE,3,14
Bk,A53,VAN SICLEN AVENUE,C,21
Bk,J23,VAN SICLEN AVENUE,"J,Z",1
Bk,D42,WEST 8 STREET-NY AQUARIUM,"Q,F",3
Bk,L20,WILSON AVENUE,L,14
Bk,243,WINTHROP STREET,"2,5",25
Bk,M08,WYCKOFF AVENUE,M,8
Bk,F18,YORK STREET,F,27
